
This data set contains a cat scan of a bonsai (thanks to Xiaoyu Yuan
for providing the transfer function).  The resolution of the data set is:

 x_res = 256
 y_res = 256
 slices = 128

For this object there is a unique color and opacity for each density
stored in the file.  Although the density is stored on a 0.0 to 1.0
range, there are only 256 unique densities in this object.  The
mapping between these 256 densities and the matching color and opacity
is given below.  To index into this mapping you will need to multiply
the stored density by 255.  The four columns in the mapping contain
the following values (in order):

density  red  green  blue  opacity
0 0 0 0 0
1 1 17 0 0
2 2 34 0 0
3 4 51 1 0
4 5 69 1 0
5 6 86 1 0
6 7 87 1 0
7 8 89 2 0
8 9 90 2 0
9 11 91 2 0
10 12 93 2 0
11 13 94 2 0
12 14 96 3 0
13 15 97 3 0
14 16 99 3 0
15 18 100 3 0
16 19 102 3 0
17 20 103 4 0
18 21 103 4 0
19 22 103 4 0
20 23 103 4 0
21 25 103 5 0
22 26 103 5 0
23 27 103 5 0
24 28 103 5 0
25 29 103 5 0
26 30 102 6 0
27 32 102 6 0
28 33 102 6 0
29 34 102 6 0
30 35 102 6 0
31 36 102 7 0
32 37 102 7 0
33 39 102 7 0
34 40 102 7 0
35 41 102 8 0
36 42 102 8 0
37 43 102 8 0
38 44 102 8 0
39 46 102 8 0
40 47 101 9 0
41 46 101 9 0
42 45 101 9 0
43 44 101 9 0
44 43 101 10 0
45 42 101 10 0
46 41 101 10 0
47 41 101 10 0
48 40 101 10 0
49 39 101 11 0
50 38 101 11 1
51 37 101 11 1
52 36 101 11 1
53 35 101 11 1
54 34 100 12 1
55 33 100 12 1
56 33 100 12 0
57 32 100 12 0
58 31 100 13 0
59 30 100 13 51
60 29 100 13 51
61 28 100 13 51
62 27 100 13 51
63 26 100 14 51
64 25 100 14 50
65 24 100 14 49
66 24 100 14 48
67 23 100 14 47
68 22 99 15 46
69 21 99 15 45
70 20 99 15 44
71 19 99 15 43
72 18 99 16 42
73 17 99 16 41
74 16 99 16 40
75 16 99 16 39
76 15 99 16 38
77 14 99 17 37
78 13 99 17 36
79 12 99 17 35
80 12 99 17 34
81 13 99 18 33
82 13 98 18 34
83 14 98 18 35
84 14 98 18 35
85 15 98 18 36
86 15 98 19 37
87 15 98 19 38
88 16 98 19 38
89 16 98 19 39
90 17 98 19 40
91 17 98 20 40
92 18 98 20 41
93 18 98 20 41
94 19 98 20 41
95 19 100 21 41
96 19 103 21 41
97 20 105 21 41
98 20 108 21 41
99 21 110 21 42
100 21 113 22 42
101 22 116 22 42
102 22 118 22 42
103 23 121 22 42
104 23 123 23 42
105 23 126 23 43
106 24 128 23 43
107 24 131 23 43
108 25 133 23 43
109 25 135 24 43
110 26 136 24 43
111 26 137 24 44
112 27 138 24 44
113 27 139 24 44
114 27 140 25 44
115 28 142 25 44
116 28 143 25 44
117 29 144 25 45
118 29 145 26 45
119 30 146 26 45
120 30 147 26 45
121 30 149 26 45
122 31 150 26 45
123 31 151 27 46
124 32 152 27 46
125 32 153 27 46
126 33 154 27 46
127 33 156 27 46
128 34 157 28 46
129 34 158 28 47
130 34 159 28 47
131 35 160 28 47
132 35 161 29 47
133 36 163 29 47
134 36 164 29 47
135 37 165 29 48
136 37 166 29 48
137 38 167 30 48
138 38 168 30 48
139 38 170 30 48
140 39 171 30 48
141 39 172 31 49
142 40 173 31 49
143 40 174 31 49
144 41 175 31 49
145 41 176 31 49
146 42 178 32 49
147 42 179 32 49
148 42 180 32 50
149 43 181 32 50
150 43 182 32 50
151 44 183 33 50
152 44 185 33 50
153 45 186 33 50
154 45 188 33 51
155 46 188 34 51
156 46 187 34 52
157 46 187 34 52
158 47 186 34 53
159 47 185 34 54
160 48 185 35 55
161 48 184 35 56
162 49 184 35 57
163 49 183 35 58
164 49 182 35 58
165 50 182 36 59
166 50 181 36 60
167 51 181 36 61
168 67 180 36 62
169 82 180 37 63
170 98 179 37 63
171 114 178 37 64
172 129 178 37 65
173 145 177 37 66
174 161 177 38 67
175 177 176 38 68
176 192 176 38 69
177 192 175 38 69
178 192 174 39 70
179 192 174 39 71
180 192 173 39 72
181 192 173 39 73
182 191 172 39 74
183 191 171 40 74
184 191 171 40 75
185 191 170 40 76
186 191 170 40 77
187 191 169 40 78
188 190 169 41 79
189 190 168 41 79
190 190 167 41 80
191 190 167 41 81
192 190 166 42 82
193 190 166 42 83
194 190 165 42 84
195 189 165 42 85
196 189 164 42 85
197 189 163 43 86
198 189 163 43 87
199 189 162 43 88
200 189 162 43 89
201 189 161 43 90
202 188 160 44 90
203 188 160 44 91
204 188 156 44 92
205 188 152 44 93
206 188 147 45 94
207 188 143 45 95
208 188 139 45 95
209 188 135 45 95
210 188 131 45 96
211 188 127 46 96
212 188 123 46 97
213 188 119 46 97
214 188 119 46 97
215 188 119 47 98
216 188 119 47 98
217 188 119 47 99
218 188 120 47 99
219 188 120 47 99
220 188 120 48 100
221 188 120 48 100
222 188 121 47 101
223 188 121 47 101
224 188 121 47 102
225 188 121 46 102
226 188 122 46 102
227 188 122 45 103
228 188 122 45 103
229 188 122 44 104
230 188 122 44 104
231 188 123 44 104
232 188 123 43 105
233 188 123 43 105
234 188 123 42 106
235 188 124 42 106
236 188 124 41 106
237 188 124 41 107
238 188 124 41 107
239 188 125 40 108
240 188 125 40 108
241 188 125 39 108
242 188 125 39 109
243 188 125 38 109
244 188 126 38 110
245 188 126 38 110
246 188 126 37 110
247 188 126 37 111
248 188 127 36 111
249 188 127 36 112
250 188 127 35 112
251 188 127 35 112
252 188 128 35 113
253 188 128 34 113
254 188 128 34 114
255 188 220 33 114
